userName,score,at,content
Dede Ajha,3,2026-05-07 08:25:43,"gak ada bonus, dibspbu sering eror"
Ahmad Dorasa,5,2026-05-07 07:59:46,sangat bagus
Fikri Amuraloh,5,2026-05-07 07:55:05,"min mau tanya gimana cara dapetin barcode lama kita karena waktu pembelian solar barcode susah terdeteksi, file yang lama hilang hp hancur kelindes truck"
Husen Husen,5,2026-05-07 07:49:09,sangat bagus
Yanuar AL_El,5,2026-05-07 07:29:34,mudah vepat
leni suryantari,5,2026-05-07 07:29:33,sukak beli bensin ga pake antri😁🫶
Najwa Q,5,2026-05-07 07:28:31,sangat membantu
PT Mitan,5,2026-05-07 06:15:42,mantap
Marlina Yan,1,2026-05-07 06:00:02,untuk verifikasi saja butuh 14 hari kerja. entah apa kerja org pertamina ini. nyusahin rakyat saja.
Tabul 666,5,2026-05-07 04:20:40,good
Darto Sari,5,2026-05-07 02:27:49,Pertamax plus
Teddy Adrian,5,2026-05-07 02:24:56,bagus
Anselmus Mahartiara,2,2026-05-07 01:56:26,verifikasi data terlalu lama sehingga menyusahkan dan kurang membantu
Supri Yanto,5,2026-05-07 01:54:46,mantap
Ahmad Ipandi,5,2026-05-07 01:19:51,"Pertamina tolong adakan pembayaran via kaspro Maxim,,,,aplikasi gojek yg lainnya udh ada via pembayaran nya diaplikasi Pertamina terimakasih"
Achmad Shaka,5,2026-05-07 00:58:15,sangat memuaskan
agung sukarno,1,2026-05-06 23:47:47,mempersulit kali lah apk ini buat urus barcode
Rahmat Hidayat,5,2026-05-06 22:43:18,mantap
Realme Note 60,1,2026-05-06 22:27:59,"aplikasi tolol, giliran mo payment error mulu"
aditya taru,5,2026-05-06 22:21:26,"k l eh ee0ccc Vvhhgvei bkn ga nd, ny"
Iis Herisna Agustyani,1,2026-05-06 19:43:05,Verifikasi selalu ditolak.
Ady,1,2026-05-06 19:13:00,"kacauu buruk pengalaman saya di apk my pertamina ini, saya beli bahan bakar pake apk ini dengan metode bayar BCA one klik, transaksi di saya berhasil, tapi di mesin SPBU gagal, dan uang saya di rek sudah terpotong,, jadi saya membayar dengan QRIS sebagai ganti nya.. uang saya hilang terpotong begitu saja, SANGAT BURUK APK INI, BUKAN ORANG NYA SAJA YANG KORUPSI, APLIKASI NYA JUGATERNYATA NI MYPERTAMINA, BURUK SISTEM KORUPSI."
Wahyu Rinaldi,5,2026-05-06 16:41:36,Sangat puas
Imam Firdaus,1,2026-05-06 16:30:23,"admin my Pertamina pasti pengguna diesel semua. nyatanya biosolar masih bisa di perbolehkan untuk kendaraan mewah. yakali Innova Fortuner Pajero ,modif heron isi biosolar tidak di blokir"
Aditya Bagus M,1,2026-05-06 15:56:27,"ayo lahhh berbenah, pake vendor suasta yang profesonal"
Muih Muihyanti,5,2026-05-06 15:13:18,mantab karyawan nya banyak dan pompa nya juga banyak
Aldias Akbar,5,2026-05-06 15:12:55,baik data nya ada yang belum
Azmi Pamuncak,5,2026-05-06 14:46:32,bagus
EDIT SEMBARANG,1,2026-05-06 14:41:09,"aplikasi yang kadang kadang kalau mau bayar , koneksinya lelet , tidak bisa di andalkan karna di belakang pada ngantri. bukannya cepat malah lama."
mi islamiyah Soso,5,2026-05-06 12:48:02,oke
Onny Agustine,5,2026-05-06 12:21:02,mudah dalam transaksi
Ardiansyah A2,2,2026-05-06 12:12:53,"saya sudah memenuhi semua persyaratan untuk daftar bbm subsidi kenapa selalu ditolak?,,,terus di persyaratan stnk dan foto mobil yg ada cuma opsi ambil foto gak ada opsi pilih gambar emangnya harus ambil foto mobilnya secara langsung ya?"
agus supriatna,1,2026-05-06 11:21:55,aplikasi lemot
Daryanto Ismartoyo,5,2026-05-06 10:17:13,Praktis & efesien 🙏
ARDI AZA,5,2026-05-06 10:09:25,ok
Ali Imam,5,2026-05-06 09:41:54,top
Fienda Oktavia,1,2026-05-06 09:12:56,WOY MY PERTAMINA ! gausah nyusahin mau ngisi bbm aja ribet pake di tolak segala udah nunggu 14 hari. yang bener dong apilikasi gausah nyusahin orang !!!
Dede Yudha,1,2026-05-06 06:05:46,"Ruwet, dari sini mesti konfirmasi di email, WA dan seterusnya bolak balik, padahal mau registrasi ulang subsidi tepat Pertalite untuk mobil Toyota kijang tahun 1988. sebulan, masih gagal2 terus untuk registrasi ulang"
29 Fadli Dg Ngempo Rewako Gowa,5,2026-05-06 05:40:35,mantap
Sipajok Hutasoit,1,2026-05-06 05:29:32,"daftar barcode solar buat mobil truk, 15 hari gak jadi, nyusahin masyarakat kecil"
Yon Sutejo,1,2026-05-06 03:27:52,sudah memasukkan no hp dan pin yang benar. tp keterangan salah . kita mau ganti pin. OTP gak masuk2 ke wa atau sms.. gimana ini solusinya
iip m q,5,2026-05-06 03:26:06,"Bagus,, bermanfaat, tapi sayang promo nya berkurang,"
ariyadi gio,1,2026-05-06 01:35:51,sudah berkali-kali disuruh Poto ulang dengan alasan Poto hasil editan. eh pas kita chat 135 yg kita tanya nopol kita malah dijawab nopol entah punya siapa. bum in
Aldi Putra,1,2026-05-06 00:44:13,"Digitalisasi tapi verifikasi data mungkin cuma beberapa orang dari jutaan kendaraan. bisa-bisanya pajero, fortuner, innova dapat subsidi solar. harga kendaraan mereka ratusan juta, mobil pribadi pula. semoga ada indikator yang lebih jelas dan tegas, karena udah mulai bagus yang solar langsir di stop."
Rahmat Juliansyah,5,2026-05-05 21:53:21,cepat dan tepat
Fitrirani Belilik,5,2026-05-05 15:37:30,belom ada Qd barqode
Teratai Chanel,3,2026-05-05 15:35:12,Aplikasi nya Susah di pakai
Dwi Mark,5,2026-05-05 14:20:46,Berbahaya!!!
Restu Jaya Putra,3,2026-05-05 12:23:22,"tolong di pengambilan foto STNK dan mobil ada pilihan galerinya, biar kalau pembaruan unit lagi diluar bisa langsung diperbaharui"
Linda Anggra Suwandi,1,2026-05-05 12:06:37,gilaaak yaaa.. daftarkan diri aja susahnya minta ampun. verifikasi di tolak mulu. heran. katanya disuruh pake barcode. giliran isi data malah dipersulit. kalo sistem lo blm bener.. gausah nyuruh masyarakat pk aplikasi ini!!! aplikasi lo aja error mulu. hidup di negara sendiri aja dipersulit mau isi bensin.
Jhonie Permata,1,2026-05-05 10:44:25,pelayanan sangat lambat. segini masyarakat beli. pelayanan nya di lama2in. sampe ngantri melngular nunggu 30 menit. ini berlaku di semua Pertamina seperti nya. tolong dong perbaiki kualitas pelayanan.kami beli bukan gratis
Sujud Hasyanudin,5,2026-05-05 07:22:15,membantu
obii-kun,1,2026-05-05 03:44:09,"pembuatan barcode ribet, udah nunggu verifikasi lama tau2 ditolak, kalau cuma foto kendaraan kenapa ngga dari awal aja nolaknya? tolong di benah i"
Komarudin Komarudin,1,2026-05-05 01:13:44,"saya kecewa sangat2 kecewa ketika saya menggagalkan transaksi atas pembayaran (alasan internet lemot) tapi voucher nya tetap terpakai kejadian tersebut spbu 31 jkt. sampai sekarang tidak ada tindak lanjut. Di Email gak direspon, ditelp menghabiskan pulsa. Tlg dong pihak mypertamina, tindak lanjutnya gimana voucher yg sudah saya beli??? aplikasi kotor jijikk"
Atek Phonix,1,2026-05-04 19:03:41,ribet susah di uruskan orang malah ketipu cocok buat orang pintar
M REZA MAULANA,1,2026-05-04 14:52:07,kenapa suka error terus sih min Waktu ngambil foto KTP nya
Raudhah,2,2026-05-04 05:35:17,sampah.
Kurniawan,1,2026-05-04 05:19:12,sistem nya kurang bagus data kndaraan trdaftar di samsat malah ditolak kndaraan tidak terdaftar database ngaco
Wahyu Firmansyah,1,2026-05-04 04:52:37,ga berfungsi error terus ulangi beberapa saat lagi
Wisnu Kanza,5,2026-05-04 03:25:59,ok
Hafit Setiawan,5,2026-05-04 03:15:24,"sangat membantu, terimakasih"
Gum_ Gumilar,1,2026-05-04 02:22:35,daftarkan barcode udah 10 hari tidak di verifikasi mohon bantuannya sistem di permudah lagi kasian yg urus barcode
ayik dwi cahayanto,1,2026-05-04 02:05:28,saya mau daftar barcode lamanya masyaallah udah 14 hari belum jadi jadi gimana ini??? kirim email tidak di balas. kirim chat WhatsApp tidak ada CS yg balas.. parah lama sekaliii... dan mau buat PIN tidak bisa terussssssssssss .. nb: data ku lengkap dan sangat jelas !! saya kasih bintang 1 karena tidak ada kejelasan dan pelayanan sangat buruk tidak ada yg bisa di hubungi....
Alex sidabutar sidabutar,5,2026-05-04 01:35:10,bagus sekali
Didi Mulyadi,1,2026-05-04 01:27:00,gk guna mau daftar barcode juga slalu ditolak
Slamet pangestu,2,2026-05-03 15:50:28,dari 21 april sampai sekarang 3 mei pukul 22.48 masih menunggu verifikasi 😩
Djoni Karim,5,2026-05-03 14:17:46,aplikasi bagus fan membantu terutama mencari lokasi SPBU
Andri,5,2026-05-03 12:42:57,sangat memudahkan d saat tidak membawa uang tunai n bisa kumpul kan poin
Erik P,5,2026-05-03 12:31:28,Bagusss
Didi Wibawa,2,2026-05-03 11:14:45,Ribet aplikasinya
Ruly Megawati,5,2026-05-03 11:10:49,ok
Udo Pendi,5,2026-05-03 05:12:07,bacode terblokir
Lubang Kanciang,1,2026-05-03 04:16:32,"aplikasi sampah, bisa"" nya foto mobil kendaraan ngga sesuai...dan bisa juga datanya mobil roda 10 tapi foto mobil nya LCGC jebol..kan tolol yang buat aplikasi ini"
Arizal Taufik Ivan M,1,2026-05-03 03:34:35,"sekarang foto harus langsung, gak bisa lewat galery lagi"
RONI RAGIL S,3,2026-05-03 03:29:19,Nunggu verifikasi aja lama bgt
Mr.Ryman99,1,2026-05-03 02:42:05,"Aplikasinya ga jelas udah nunggu 14 hari malah ditolak verifikasinya,pdahal udah bagus semuanya,fotonya dan lain lain,dan kenapa harus nunggu 14 hari"
afen official,1,2026-05-03 01:06:13,"aneh aplikasinya, data tidak ditemukan"
Fahim Huzair,1,2026-05-02 23:32:41,"udah beberapa kali gagal , foto udah bener STNK juga udah masih aja gagal hadehh payah"
agus D,1,2026-05-02 23:21:59,Ada2 aja. Bikin ribet👎👎👎. susah login...
Nursalim Nanung,5,2026-05-02 22:38:55,"sangat membantu masyarakat yang membutuhkan subsidi yang tepat untuk kelancaran dan mengembangkan usahanya, program ini diharapkan untuk tetap dipertahankan pemerintah siapapun yang memimpin negara ini."
Alam Setiawansyah,5,2026-05-02 21:56:59,aplikasi ini cukup membantu
Wawan Henk,1,2026-05-02 17:28:11,Untuk Area kota palopo Error terus kalau di tanya bisa bayar pake apk mypertamina atau karna saya pakai motor jadi tidak bisa?
Robi Kusbiandi,5,2026-05-02 14:08:56,mudahhh
Ari Kurniawan,1,2026-05-02 12:28:09,"sdh pernah punya qr dan di print, tp rusak pas masuk data yg sebelumnya tdk ada, bikin qr baru susah nya minta ampun, gagal verifikasi ktp keterangan bukan foto ktp langsung tp dr layar, padahal jelas2 foto bbrp kali sampai yg ad tangan nya jg ttp gagal verifikasi dgn ketrangan bukan diambil dr ktp asli, emang ga niat ngasih subsidi buat masyarakat, payah....."
sword shield,1,2026-05-02 12:08:26,mau masukkan metode pembayaran selalu gagal. Email CS jg lambat respon
geraldi suryaputra,1,2026-05-02 11:32:17,"tolong ini kenapa setiap verifikasi data kendaraan selalu gagal yah, padahal sudah berkali"" di foto tetap gagal terus. alasannya selalu nomor kendaraan berbeda."
Badru Dhezta,4,2026-05-02 09:31:20,baik
Aji Fernandez,2,2026-05-02 08:14:03,"daftar subsidi tepat jangan dipersulit min... mau buat barcode pertalite, sistem masuknya dipersulit...."
Nato Ilusi,1,2026-05-02 08:06:47,kga kenal mobil apa gimana. poto kendaraan doang ribet nya ngulang trus. udah jlas nopol sama merek mobil juga bentuknya bgitu depan samping. ribet bgt
Ratu M,4,2026-05-02 07:53:01,min. saya salah kirim email. kode perifikasinya ke kirim email yg salah jadinya. gimna min solusinya?
Muntashor Amin,3,2026-05-02 05:51:20,kenapa kok tidak bisa laporan viaa video call. ???
Frans Toding,5,2026-05-02 05:40:00,5 binrang
ngoprek channel,5,2026-05-02 05:25:22,Sukses dan jaya
Joni Achmad Saputra,5,2026-05-02 02:50:56,"terima kasih.,,"
Ahmad Maisuri,5,2026-05-02 01:15:02,mohon aplikasi barkote nya jangan di bikin susah bikin nya sih kan mau beli BBM. bukan korupsi. in BBM.
Sies Wandoyo,5,2026-05-02 01:10:05,blm dapat barcode
Ayuk Sukma,4,2026-05-02 00:13:15,ok
suryadi zakaria,1,2026-05-01 12:58:29,"sudah registrasi, tp setelah verifikasi berhasil malah ket yg muncul ""barcode anda di blokir"". pertamina ga jelas.."
poltak suadiman,5,2026-05-01 10:52:10,Chrome ada untuk apa saja Chrome membantu MyPertamina mewujudkan subsidi tepat. Terima kasih Chrome.
eddy wamese,5,2026-05-01 07:27:33,sangat membantu dalam pengisian BBM
Ian Budi,5,2026-05-01 06:23:26,"Alhamdulillah sudah dapat digunakan kembali🙏🏻 terima kasih, buat mbak ² operator terimakasih 🙏🏻 layanannya baik meski berulang kali telpon karena kendala jaringan dan kendala pulsa tetap sabar🙏🏻"
Bagus Mustofa,1,2026-05-01 06:09:48,aplikasi ribet
AR raven,1,2026-05-01 05:57:46,"gak jelas, sudah lama pakai tiba2 data bisa hilang semua"
Ateem Ahmad,5,2026-05-01 05:38:19,alhamdulillah.. aplikasi dan barcode aktif kembali.
Sumarto radenbejow,4,2026-05-01 05:23:42,akurat sekali
Agusta Fathullah,5,2026-05-01 04:07:58,bagus
Roni Hermawan,1,2026-05-01 03:50:23,"saya tidak bisa ubah data kendaraan biosolar,. mau diUbah udah keluar aplikasi terus,."
Eko lass,5,2026-05-01 03:40:52,bagus banget berfungsi dengan baik
Engkok Icol,5,2026-05-01 01:48:29,layanan call center 135 kenapa harus berbayar?
Ihwanur Rifqi,1,2026-05-01 01:31:36,penanganannya sangat lelet Konoha emang beda!
arno njang,5,2026-04-30 17:17:39,alhamdulillah bagus
Dadut @gmail.com,5,2026-04-30 16:26:35,puas sekali
Andi Arif,5,2026-04-30 16:14:28,Aplikasi yang bagus untuk kemudahan transaksi pengisian minyak pertalite dan lainnya. Bayar bisa cashless dengan E- Wallet yang terhubung dengan aplikasi. Good job
David Harmanto,4,2026-04-30 12:16:11,bagus
Fadly Roy,5,2026-04-30 11:17:17,keren
Tengku Aziz,5,2026-04-30 10:29:43,asik
wahyudi yoe,1,2026-04-30 07:35:54,sistem kacau
Yun Heri,1,2026-04-30 07:24:29,nik tdk terdaftar padahal di profil sd ad
Revandi Akbar,1,2026-04-30 07:21:30,Tolong tim verifikasi di tambah dong. masa verifikasi aja butuh 14 hari? saya udah 5 hari blum terverifikasi. aneh2 aja
Rachmat Yanto,5,2026-04-30 02:52:46,mantapppp
Aprianto Yanto,3,2026-04-30 00:42:52,"semenjak kenaikan Dex series dan juga pertamax turbo, verifikasi barcode menjadi lama dan juga jika verifikasi di tolak lalu di benerin lama lagi verifikasi nya mungkin supaya orang² membeli bbm non subsidi. bukannya mempermudah malah mempersulit dengan barcode padahal kita beli."
Rahmat Hidayat,5,2026-04-29 16:29:42,bagus
Fadlan Mewar,5,2026-04-29 13:52:01,ok
Alfianto Pramono,5,2026-04-29 11:53:57,nice service
Mahadhir Muhammad,5,2026-04-29 11:20:30,semoga dipermudah dan lancar
Aldeni Zaidarlis,5,2026-04-29 08:18:49,menarik untuk di baca
